characteristic	 value	 user_id	 study_name	 
raceomb	6	206866	ybalab.daniel.death1.0001
birthmonth	8	206866	ybalab.daniel.death1.0001
education	8	206866	ybalab.daniel.death1.0001
sex	f	206866	ybalab.daniel.death1.0001
religion	roman catholic church, the	206866	ybalab.daniel.death1.0001
citizenship	us	206866	ybalab.daniel.death1.0001
residence	us	206866	ybalab.daniel.death1.0001
relfamily	.	349777	ybalab.daniel.death1.0001
politicalid	1	349777	ybalab.daniel.death1.0001
birthyear	1982	349777	ybalab.daniel.death1.0001
ethnicityomb	2	349777	ybalab.daniel.death1.0001
religionid	2	349777	ybalab.daniel.death1.0001
genoccupation	43	349777	ybalab.daniel.death1.0001
occupation	43-6000	349777	ybalab.daniel.death1.0001
dayofbirth	6	349777	ybalab.daniel.death1.0001
raceomb	6	349777	ybalab.daniel.death1.0001
education	7	349777	ybalab.daniel.death1.0001
birthmonth	8	349777	ybalab.daniel.death1.0001
major	8	349777	ybalab.daniel.death1.0001
zipcode	97330	349777	ybalab.daniel.death1.0001
sex	f	349777	ybalab.daniel.death1.0001
religion	none	349777	ybalab.daniel.death1.0001
residence	sm	349777	ybalab.daniel.death1.0001
citizenship	us	349777	ybalab.daniel.death1.0001
politicalid	0	412290	ybalab.daniel.death1.0001
ethnicityomb	1	412290	ybalab.daniel.death1.0001
birthyear	1980	412290	ybalab.daniel.death1.0001
genoccupation	25	412290	ybalab.daniel.death1.0001
occupation	25-2000	412290	ybalab.daniel.death1.0001
religionid	3	412290	ybalab.daniel.death1.0001
major	5	412290	ybalab.daniel.death1.0001
dayofbirth	6	412290	ybalab.daniel.death1.0001
birthmonth	7	412290	ybalab.daniel.death1.0001
zipcode	78727	412290	ybalab.daniel.death1.0001
education	9	412290	ybalab.daniel.death1.0001
raceomb	9	412290	ybalab.daniel.death1.0001
religion	catholic	412290	ybalab.daniel.death1.0001
sex	m	412290	ybalab.daniel.death1.0001
relfamily	roman catholic	412290	ybalab.daniel.death1.0001
residence	sm	412290	ybalab.daniel.death1.0001
citizenship	us	412290	ybalab.daniel.death1.0001
ethnicityomb	.	416991	ybalab.daniel.death1.0001
zipcode	19460	416991	ybalab.daniel.death1.0001
birthyear	1950	416991	ybalab.daniel.death1.0001
politicalid	2	416991	ybalab.daniel.death1.0001
genoccupation	25	416991	ybalab.daniel.death1.0001
occupation	25-xxxx	416991	ybalab.daniel.death1.0001
religionid	3	416991	ybalab.daniel.death1.0001
dayofbirth	4	416991	ybalab.daniel.death1.0001
raceomb	6	416991	ybalab.daniel.death1.0001
birthmonth	8	416991	ybalab.daniel.death1.0001
major	8	416991	ybalab.daniel.death1.0001
education	9	416991	ybalab.daniel.death1.0001
relfamily	congregationalist	416991	ybalab.daniel.death1.0001
sex	f	416991	ybalab.daniel.death1.0001
religion	protestant	416991	ybalab.daniel.death1.0001
residence	sm	416991	ybalab.daniel.death1.0001
citizenship	us	416991	ybalab.daniel.death1.0001
religionid	1	451157	ybalab.daniel.death1.0001
genoccupation	15	451157	ybalab.daniel.death1.0001
occupation	15-1000	451157	ybalab.daniel.death1.0001
birthyear	1947	451157	ybalab.daniel.death1.0001
ethnicityomb	2	451157	ybalab.daniel.death1.0001
dayofbirth	23	451157	ybalab.daniel.death1.0001
zipcode	29414	451157	ybalab.daniel.death1.0001
politicalid	3	451157	ybalab.daniel.death1.0001
major	6	451157	ybalab.daniel.death1.0001
raceomb	6	451157	ybalab.daniel.death1.0001
birthmonth	7	451157	ybalab.daniel.death1.0001
education	9	451157	ybalab.daniel.death1.0001
relfamily	atheist	451157	ybalab.daniel.death1.0001
sex	m	451157	ybalab.daniel.death1.0001
religion	none	451157	ybalab.daniel.death1.0001
citizenship	us	451157	ybalab.daniel.death1.0001
residence	us	451157	ybalab.daniel.death1.0001
major	1	469437	ybalab.daniel.death1.0001
politicalid	1	469437	ybalab.daniel.death1.0001
religionid	1	469437	ybalab.daniel.death1.0001
dayofbirth	16	469437	ybalab.daniel.death1.0001
birthyear	1987	469437	ybalab.daniel.death1.0001
ethnicityomb	2	469437	ybalab.daniel.death1.0001
genoccupation	25-9999	469437	ybalab.daniel.death1.0001
occupation	25-9999	469437	ybalab.daniel.death1.0001
zipcode	48375	469437	ybalab.daniel.death1.0001
education	5	469437	ybalab.daniel.death1.0001
raceomb	8	469437	ybalab.daniel.death1.0001
birthmonth	9	469437	ybalab.daniel.death1.0001
relfamily	agnostic	469437	ybalab.daniel.death1.0001
sex	f	469437	ybalab.daniel.death1.0001
religion	none	469437	ybalab.daniel.death1.0001
citizenship	us	469437	ybalab.daniel.death1.0001
residence	us	469437	ybalab.daniel.death1.0001
religionid	1	516297	ybalab.daniel.death1.0001
birthyear	1985	516297	ybalab.daniel.death1.0001
ethnicityomb	2	516297	ybalab.daniel.death1.0001
genoccupation	25	516297	ybalab.daniel.death1.0001
occupation	25-1000	516297	ybalab.daniel.death1.0001
dayofbirth	26	516297	ybalab.daniel.death1.0001
politicalid	3	516297	ybalab.daniel.death1.0001
major	4	516297	ybalab.daniel.death1.0001
birthmonth	6	516297	ybalab.daniel.death1.0001
raceomb	6	516297	ybalab.daniel.death1.0001
education	8	516297	ybalab.daniel.death1.0001
relfamily	atheist	516297	ybalab.daniel.death1.0001
residence	ca	516297	ybalab.daniel.death1.0001
sex	m	516297	ybalab.daniel.death1.0001
zipcode	n2l 6p7	516297	ybalab.daniel.death1.0001
religion	none	516297	ybalab.daniel.death1.0001
citizenship	us	516297	ybalab.daniel.death1.0001
religionid	1	528365	ybalab.daniel.death1.0001
major	11	528365	ybalab.daniel.death1.0001
zipcode	14618	528365	ybalab.daniel.death1.0001
birthyear	1936	528365	ybalab.daniel.death1.0001
birthmonth	2	528365	ybalab.daniel.death1.0001
ethnicityomb	2	528365	ybalab.daniel.death1.0001
dayofbirth	3	528365	ybalab.daniel.death1.0001
politicalid	3	528365	ybalab.daniel.death1.0001
raceomb	6	528365	ybalab.daniel.death1.0001
education	7	528365	ybalab.daniel.death1.0001
genoccupation	99-0001	528365	ybalab.daniel.death1.0001
occupation	99-0001	528365	ybalab.daniel.death1.0001
relfamily	atheist	528365	ybalab.daniel.death1.0001
sex	f	528365	ybalab.daniel.death1.0001
religion	none	528365	ybalab.daniel.death1.0001
citizenship	us	528365	ybalab.daniel.death1.0001
residence	us	528365	ybalab.daniel.death1.0001
religionid	1	597290	ybalab.daniel.death1.0001
birthmonth	10	597290	ybalab.daniel.death1.0001
dayofbirth	10	597290	ybalab.daniel.death1.0001
education	13	597290	ybalab.daniel.death1.0001
major	13	597290	ybalab.daniel.death1.0001
birthyear	1962	597290	ybalab.daniel.death1.0001
ethnicityomb	2	597290	ybalab.daniel.death1.0001
genoccupation	21	597290	ybalab.daniel.death1.0001
occupation	21-2000	597290	ybalab.daniel.death1.0001
politicalid	3	597290	ybalab.daniel.death1.0001
raceomb	6	597290	ybalab.daniel.death1.0001
zipcode	9121	597290	ybalab.daniel.death1.0001
sex	f	597290	ybalab.daniel.death1.0001
religion	otherrelig	597290	ybalab.daniel.death1.0001
relfamily	spiritist	597290	ybalab.daniel.death1.0001
citizenship	us	597290	ybalab.daniel.death1.0001
residence	us	597290	ybalab.daniel.death1.0001
birthmonth	1	614100	ybalab.daniel.death1.0001
politicalid	1	614100	ybalab.daniel.death1.0001
religionid	1	614100	ybalab.daniel.death1.0001
dayofbirth	19	614100	ybalab.daniel.death1.0001
birthyear	1979	614100	ybalab.daniel.death1.0001
ethnicityomb	3	614100	ybalab.daniel.death1.0001
major	3	614100	ybalab.daniel.death1.0001
education	5	614100	ybalab.daniel.death1.0001
genoccupation	55	614100	ybalab.daniel.death1.0001
occupation	55-2000	614100	ybalab.daniel.death1.0001
raceomb	8	614100	ybalab.daniel.death1.0001
zipcode	96326	614100	ybalab.daniel.death1.0001
relfamily	agnostic	614100	ybalab.daniel.death1.0001
sex	f	614100	ybalab.daniel.death1.0001
residence	jp	614100	ybalab.daniel.death1.0001
religion	none	614100	ybalab.daniel.death1.0001
citizenship	us	614100	ybalab.daniel.death1.0001
major	10	618954	ybalab.daniel.death1.0001
dayofbirth	11	618954	ybalab.daniel.death1.0001
birthyear	1950	618954	ybalab.daniel.death1.0001
ethnicityomb	2	618954	ybalab.daniel.death1.0001
politicalid	2	618954	ybalab.daniel.death1.0001
religionid	2	618954	ybalab.daniel.death1.0001
genoccupation	41	618954	ybalab.daniel.death1.0001
occupation	41-3000	618954	ybalab.daniel.death1.0001
birthmonth	5	618954	ybalab.daniel.death1.0001
raceomb	6	618954	ybalab.daniel.death1.0001
zipcode	60022	618954	ybalab.daniel.death1.0001
education	8	618954	ybalab.daniel.death1.0001
sex	m	618954	ybalab.daniel.death1.0001
religion	none	618954	ybalab.daniel.death1.0001
residence	sm	618954	ybalab.daniel.death1.0001
relfamily	spiritual, no organized religion	618954	ybalab.daniel.death1.0001
citizenship	us	618954	ybalab.daniel.death1.0001
dayofbirth	.	650776	ybalab.daniel.death1.0001
religionid	1	650776	ybalab.daniel.death1.0001
birthmonth	12	650776	ybalab.daniel.death1.0001
education	12	650776	ybalab.daniel.death1.0001
birthyear	1977	650776	ybalab.daniel.death1.0001
ethnicityomb	2	650776	ybalab.daniel.death1.0001
politicalid	2	650776	ybalab.daniel.death1.0001
genoccupation	25	650776	ybalab.daniel.death1.0001
occupation	25-1000	650776	ybalab.daniel.death1.0001
raceomb	6	650776	ybalab.daniel.death1.0001
major	9	650776	ybalab.daniel.death1.0001
zipcode	95926	650776	ybalab.daniel.death1.0001
relfamily	agnostic	650776	ybalab.daniel.death1.0001
sex	m	650776	ybalab.daniel.death1.0001
religion	none	650776	ybalab.daniel.death1.0001
residence	sm	650776	ybalab.daniel.death1.0001
citizenship	us	650776	ybalab.daniel.death1.0001
dayofbirth	.	689939	ybalab.daniel.death1.0001
zipcode	07306	689939	ybalab.daniel.death1.0001
religionid	1	689939	ybalab.daniel.death1.0001
birthmonth	10	689939	ybalab.daniel.death1.0001
birthyear	1957	689939	ybalab.daniel.death1.0001
ethnicityomb	2	689939	ybalab.daniel.death1.0001
politicalid	3	689939	ybalab.daniel.death1.0001
education	5	689939	ybalab.daniel.death1.0001
raceomb	6	689939	ybalab.daniel.death1.0001
major	8	689939	ybalab.daniel.death1.0001
genoccupation	99-9999	689939	ybalab.daniel.death1.0001
occupation	99-9999	689939	ybalab.daniel.death1.0001
sex	f	689939	ybalab.daniel.death1.0001
religion	none	689939	ybalab.daniel.death1.0001
residence	sm	689939	ybalab.daniel.death1.0001
relfamily	spiritual, no organized religion	689939	ybalab.daniel.death1.0001
citizenship	us	689939	ybalab.daniel.death1.0001
dayofbirth	.	770358	ybalab.daniel.death1.0001
relfamily	.	770358	ybalab.daniel.death1.0001
religionid	1	770358	ybalab.daniel.death1.0001
birthyear	1970	770358	ybalab.daniel.death1.0001
ethnicityomb	2	770358	ybalab.daniel.death1.0001
politicalid	2	770358	ybalab.daniel.death1.0001
genoccupation	25	770358	ybalab.daniel.death1.0001
occupation	25-4000	770358	ybalab.daniel.death1.0001
zipcode	37122	770358	ybalab.daniel.death1.0001
raceomb	6	770358	ybalab.daniel.death1.0001
major	8	770358	ybalab.daniel.death1.0001
birthmonth	9	770358	ybalab.daniel.death1.0001
education	9	770358	ybalab.daniel.death1.0001
sex	f	770358	ybalab.daniel.death1.0001
religion	none	770358	ybalab.daniel.death1.0001
residence	sm	770358	ybalab.daniel.death1.0001
citizenship	us	770358	ybalab.daniel.death1.0001
dayofbirth	.	774519	ybalab.daniel.death1.0001
ethnicityomb	1	774519	ybalab.daniel.death1.0001
major	10	774519	ybalab.daniel.death1.0001
birthmonth	12	774519	ybalab.daniel.death1.0001
birthyear	1987	774519	ybalab.daniel.death1.0001
politicalid	2	774519	ybalab.daniel.death1.0001
religionid	2	774519	ybalab.daniel.death1.0001
genoccupation	25-9999	774519	ybalab.daniel.death1.0001
occupation	25-9999	774519	ybalab.daniel.death1.0001
raceomb	8	774519	ybalab.daniel.death1.0001
education	9	774519	ybalab.daniel.death1.0001
zipcode	92122	774519	ybalab.daniel.death1.0001
sex	f	774519	ybalab.daniel.death1.0001
religion	none	774519	ybalab.daniel.death1.0001
relfamily	spiritual, no organized religion	774519	ybalab.daniel.death1.0001
citizenship	us	774519	ybalab.daniel.death1.0001
residence	us	774519	ybalab.daniel.death1.0001
dayofbirth	.	786707	ybalab.daniel.death1.0001
birthyear	1984	786707	ybalab.daniel.death1.0001
ethnicityomb	2	786707	ybalab.daniel.death1.0001
politicalid	2	786707	ybalab.daniel.death1.0001
religionid	2	786707	ybalab.daniel.death1.0001
genoccupation	25	786707	ybalab.daniel.death1.0001
occupation	25-2000	786707	ybalab.daniel.death1.0001
zipcode	340-802	786707	ybalab.daniel.death1.0001
major	5	786707	ybalab.daniel.death1.0001
raceomb	6	786707	ybalab.daniel.death1.0001
birthmonth	7	786707	ybalab.daniel.death1.0001
education	7	786707	ybalab.daniel.death1.0001
relfamily	agnostic	786707	ybalab.daniel.death1.0001
residence	kr	786707	ybalab.daniel.death1.0001
sex	m	786707	ybalab.daniel.death1.0001
religion	none	786707	ybalab.daniel.death1.0001
citizenship	us	786707	ybalab.daniel.death1.0001
dayofbirth	.	834981	ybalab.daniel.death1.0001
religionid	1	834981	ybalab.daniel.death1.0001
birthmonth	10	834981	ybalab.daniel.death1.0001
genoccupation	15	834981	ybalab.daniel.death1.0001
occupation	15-1000	834981	ybalab.daniel.death1.0001
birthyear	1969	834981	ybalab.daniel.death1.0001
ethnicityomb	2	834981	ybalab.daniel.death1.0001
politicalid	2	834981	ybalab.daniel.death1.0001
major	4	834981	ybalab.daniel.death1.0001
raceomb	6	834981	ybalab.daniel.death1.0001
zipcode	60046	834981	ybalab.daniel.death1.0001
education	7	834981	ybalab.daniel.death1.0001
relfamily	agnostic	834981	ybalab.daniel.death1.0001
sex	f	834981	ybalab.daniel.death1.0001
religion	none	834981	ybalab.daniel.death1.0001
residence	sm	834981	ybalab.daniel.death1.0001
citizenship	us	834981	ybalab.daniel.death1.0001
dayofbirth	.	847807	ybalab.daniel.death1.0001
birthyear	1980	847807	ybalab.daniel.death1.0001
ethnicityomb	2	847807	ybalab.daniel.death1.0001
politicalid	2	847807	ybalab.daniel.death1.0001
religionid	2	847807	ybalab.daniel.death1.0001
genoccupation	25	847807	ybalab.daniel.death1.0001
occupation	25-9000	847807	ybalab.daniel.death1.0001
zipcode	27127	847807	ybalab.daniel.death1.0001
birthmonth	5	847807	ybalab.daniel.death1.0001
raceomb	5	847807	ybalab.daniel.death1.0001
education	7	847807	ybalab.daniel.death1.0001
major	8	847807	ybalab.daniel.death1.0001
sex	f	847807	ybalab.daniel.death1.0001
reldenom	other christian	847807	ybalab.daniel.death1.0001
relfamily	otherchristian	847807	ybalab.daniel.death1.0001
religion	protestant	847807	ybalab.daniel.death1.0001
residence	sm	847807	ybalab.daniel.death1.0001
citizenship	us	847807	ybalab.daniel.death1.0001
dayofbirth	.	862081	ybalab.daniel.death1.0001
religionid	1	862081	ybalab.daniel.death1.0001
birthyear	1993	862081	ybalab.daniel.death1.0001
ethnicityomb	2	862081	ybalab.daniel.death1.0001
politicalid	2	862081	ybalab.daniel.death1.0001
genoccupation	25-9999	862081	ybalab.daniel.death1.0001
occupation	25-9999	862081	ybalab.daniel.death1.0001
zipcode	30609	862081	ybalab.daniel.death1.0001
birthmonth	4	862081	ybalab.daniel.death1.0001
education	5	862081	ybalab.daniel.death1.0001
raceomb	6	862081	ybalab.daniel.death1.0001
major	8	862081	ybalab.daniel.death1.0001
relfamily	agnostic	862081	ybalab.daniel.death1.0001
sex	f	862081	ybalab.daniel.death1.0001
religion	none	862081	ybalab.daniel.death1.0001
citizenship	us	862081	ybalab.daniel.death1.0001
residence	us	862081	ybalab.daniel.death1.0001
dayofbirth	.	879383	ybalab.daniel.death1.0001
ethnicityomb	.	879383	ybalab.daniel.death1.0001
birthyear	1990	879383	ybalab.daniel.death1.0001
birthmonth	2	879383	ybalab.daniel.death1.0001
religionid	2	879383	ybalab.daniel.death1.0001
genoccupation	23	879383	ybalab.daniel.death1.0001
occupation	23-2000	879383	ybalab.daniel.death1.0001
politicalid	3	879383	ybalab.daniel.death1.0001
raceomb	6	879383	ybalab.daniel.death1.0001
education	7	879383	ybalab.daniel.death1.0001
major	9	879383	ybalab.daniel.death1.0001
zipcode	98109	879383	ybalab.daniel.death1.0001
sex	f	879383	ybalab.daniel.death1.0001
relfamily	other: not listed	879383	ybalab.daniel.death1.0001
religion	otherrelig	879383	ybalab.daniel.death1.0001
citizenship	us	879383	ybalab.daniel.death1.0001
residence	us	879383	ybalab.daniel.death1.0001
dayofbirth	.	895317	ybalab.daniel.death1.0001
politicalid	0	895317	ybalab.daniel.death1.0001
birthmonth	1	895317	ybalab.daniel.death1.0001
religionid	1	895317	ybalab.daniel.death1.0001
birthyear	1992	895317	ybalab.daniel.death1.0001
ethnicityomb	2	895317	ybalab.daniel.death1.0001
major	2	895317	ybalab.daniel.death1.0001
genoccupation	25-9999	895317	ybalab.daniel.death1.0001
occupation	25-9999	895317	ybalab.daniel.death1.0001
education	5	895317	ybalab.daniel.death1.0001
raceomb	6	895317	ybalab.daniel.death1.0001
zipcode	89032	895317	ybalab.daniel.death1.0001
relfamily	atheist	895317	ybalab.daniel.death1.0001
sex	m	895317	ybalab.daniel.death1.0001
religion	none	895317	ybalab.daniel.death1.0001
citizenship	us	895317	ybalab.daniel.death1.0001
residence	us	895317	ybalab.daniel.death1.0001
dayofbirth	.	896376	ybalab.daniel.death1.0001
education	10	896376	ybalab.daniel.death1.0001
birthyear	1962	896376	ybalab.daniel.death1.0001
ethnicityomb	2	896376	ybalab.daniel.death1.0001
politicalid	2	896376	ybalab.daniel.death1.0001
genoccupation	23	896376	ybalab.daniel.death1.0001
occupation	23-1000	896376	ybalab.daniel.death1.0001
religionid	4	896376	ybalab.daniel.death1.0001
raceomb	6	896376	ybalab.daniel.death1.0001
birthmonth	9	896376	ybalab.daniel.death1.0001
major	9	896376	ybalab.daniel.death1.0001
zipcode	91902	896376	ybalab.daniel.death1.0001
relfamily	anglican	896376	ybalab.daniel.death1.0001
reldenom	episcopalian	896376	ybalab.daniel.death1.0001
sex	f	896376	ybalab.daniel.death1.0001
religion	protestant	896376	ybalab.daniel.death1.0001
citizenship	us	896376	ybalab.daniel.death1.0001
residence	us	896376	ybalab.daniel.death1.0001
dayofbirth	.	896378	ybalab.daniel.death1.0001
birthyear	1984	896378	ybalab.daniel.death1.0001
ethnicityomb	2	896378	ybalab.daniel.death1.0001
politicalid	2	896378	ybalab.daniel.death1.0001
religionid	2	896378	ybalab.daniel.death1.0001
genoccupation	25	896378	ybalab.daniel.death1.0001
occupation	25-2000	896378	ybalab.daniel.death1.0001
major	5	896378	ybalab.daniel.death1.0001
raceomb	6	896378	ybalab.daniel.death1.0001
birthmonth	7	896378	ybalab.daniel.death1.0001
education	7	896378	ybalab.daniel.death1.0001
zipcode	70775	896378	ybalab.daniel.death1.0001
relfamily	agnostic	896378	ybalab.daniel.death1.0001
sex	m	896378	ybalab.daniel.death1.0001
religion	none	896378	ybalab.daniel.death1.0001
citizenship	us	896378	ybalab.daniel.death1.0001
residence	us	896378	ybalab.daniel.death1.0001
dayofbirth	.	901527	ybalab.daniel.death1.0001
birthyear	1984	901527	ybalab.daniel.death1.0001
ethnicityomb	2	901527	ybalab.daniel.death1.0001
politicalid	2	901527	ybalab.daniel.death1.0001
religionid	2	901527	ybalab.daniel.death1.0001
major	5	901527	ybalab.daniel.death1.0001
raceomb	6	901527	ybalab.daniel.death1.0001
birthmonth	7	901527	ybalab.daniel.death1.0001
education	7	901527	ybalab.daniel.death1.0001
zipcode	70775	901527	ybalab.daniel.death1.0001
genoccupation	99-9999	901527	ybalab.daniel.death1.0001
occupation	99-9999	901527	ybalab.daniel.death1.0001
relfamily	agnostic	901527	ybalab.daniel.death1.0001
sex	m	901527	ybalab.daniel.death1.0001
religion	none	901527	ybalab.daniel.death1.0001
citizenship	us	901527	ybalab.daniel.death1.0001
residence	us	901527	ybalab.daniel.death1.0001
dayofbirth	.	920720	ybalab.daniel.death1.0001
ethnicityomb	1	920720	ybalab.daniel.death1.0001
religionid	1	920720	ybalab.daniel.death1.0001
genoccupation	11	920720	ybalab.daniel.death1.0001
major	11	920720	ybalab.daniel.death1.0001
occupation	11-3000	920720	ybalab.daniel.death1.0001
birthmonth	12	920720	ybalab.daniel.death1.0001
birthyear	1973	920720	ybalab.daniel.death1.0001
politicalid	2	920720	ybalab.daniel.death1.0001
education	7	920720	ybalab.daniel.death1.0001
raceomb	9	920720	ybalab.daniel.death1.0001
zipcode	94122	920720	ybalab.daniel.death1.0001
sex	f	920720	ybalab.daniel.death1.0001
religion	none	920720	ybalab.daniel.death1.0001
relfamily	spiritual, no organized religion	920720	ybalab.daniel.death1.0001
citizenship	us	920720	ybalab.daniel.death1.0001
residence	us	920720	ybalab.daniel.death1.0001
dayofbirth	.	921923	ybalab.daniel.death1.0001
zipcode	10009	921923	ybalab.daniel.death1.0001
birthmonth	12	921923	ybalab.daniel.death1.0001
birthyear	1993	921923	ybalab.daniel.death1.0001
ethnicityomb	2	921923	ybalab.daniel.death1.0001
genoccupation	27	921923	ybalab.daniel.death1.0001
occupation	27-9999	921923	ybalab.daniel.death1.0001
politicalid	3	921923	ybalab.daniel.death1.0001
religionid	3	921923	ybalab.daniel.death1.0001
education	5	921923	ybalab.daniel.death1.0001
major	8	921923	ybalab.daniel.death1.0001
raceomb	8	921923	ybalab.daniel.death1.0001
religion	catholic	921923	ybalab.daniel.death1.0001
sex	f	921923	ybalab.daniel.death1.0001
relfamily	roman catholic	921923	ybalab.daniel.death1.0001
residence	sm	921923	ybalab.daniel.death1.0001
citizenship	us	921923	ybalab.daniel.death1.0001
dayofbirth	.	922538	ybalab.daniel.death1.0001
ethnicityomb	1	922538	ybalab.daniel.death1.0001
religionid	1	922538	ybalab.daniel.death1.0001
education	11	922538	ybalab.daniel.death1.0001
birthyear	1952	922538	ybalab.daniel.death1.0001
occupation	29-1000	922538	ybalab.daniel.death1.0001
genoccupation	2931	922538	ybalab.daniel.death1.0001
birthmonth	3	922538	ybalab.daniel.death1.0001
politicalid	3	922538	ybalab.daniel.death1.0001
raceomb	6	922538	ybalab.daniel.death1.0001
major	7	922538	ybalab.daniel.death1.0001
zipcode	94131	922538	ybalab.daniel.death1.0001
relfamily	atheist	922538	ybalab.daniel.death1.0001
sex	m	922538	ybalab.daniel.death1.0001
religion	none	922538	ybalab.daniel.death1.0001
citizenship	us	922538	ybalab.daniel.death1.0001
residence	us	922538	ybalab.daniel.death1.0001
dayofbirth	.	927484	ybalab.daniel.death1.0001
major	1	927484	ybalab.daniel.death1.0001
education	12	927484	ybalab.daniel.death1.0001
genoccupation	19	927484	ybalab.daniel.death1.0001
occupation	19-1000	927484	ybalab.daniel.death1.0001
birthyear	1943	927484	ybalab.daniel.death1.0001
ethnicityomb	2	927484	ybalab.daniel.death1.0001
politicalid	2	927484	ybalab.daniel.death1.0001
zipcode	22207	927484	ybalab.daniel.death1.0001
religionid	3	927484	ybalab.daniel.death1.0001
birthmonth	5	927484	ybalab.daniel.death1.0001
raceomb	6	927484	ybalab.daniel.death1.0001
religion	catholic	927484	ybalab.daniel.death1.0001
sex	f	927484	ybalab.daniel.death1.0001
relfamily	roman catholic	927484	ybalab.daniel.death1.0001
residence	sm	927484	ybalab.daniel.death1.0001
citizenship	us	927484	ybalab.daniel.death1.0001
dayofbirth	.	959557	ybalab.daniel.death1.0001
politicalid	0	959557	ybalab.daniel.death1.0001
religionid	1	959557	ybalab.daniel.death1.0001
birthmonth	12	959557	ybalab.daniel.death1.0001
birthyear	1960	959557	ybalab.daniel.death1.0001
genoccupation	25-9999	959557	ybalab.daniel.death1.0001
occupation	25-9999	959557	ybalab.daniel.death1.0001
ethnicityomb	3	959557	ybalab.daniel.death1.0001
education	5	959557	ybalab.daniel.death1.0001
raceomb	6	959557	ybalab.daniel.death1.0001
